Age,Attrition,Department,Education,Gender,JobLevel,JobSatisfaction,MonthlyIncome,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
35,No,Sales,5,Male,3,1,9069,9,2,9,8,8
35,No,Research & Development,4,Female,1,1,4014,4,3,2,2,2
31,No,Research & Development,4,Male,2,4,5915,10,2,7,7,7
37,No,Research & Development,4,Male,2,3,5993,7,4,7,5,7
32,No,Research & Development,3,Male,2,4,6162,9,3,9,8,8
38,No,Research & Development,5,Female,2,4,2406,10,3,10,3,9
50,No,Research & Development,2,Female,5,3,18740,29,2,27,3,8
59,No,Sales,3,Female,3,1,7637,28,2,21,16,9
36,No,Research & Development,3,Female,3,3,10096,17,3,17,14,8
55,No,Research & Development,3,Female,4,3,14756,21,3,5,0,2
36,No,Research & Development,3,Male,2,2,6499,6,3,6,5,3
45,No,Research & Development,3,Male,3,1,9724,25,3,1,0,0
35,No,Research & Development,3,Male,1,1,2194,5,2,3,2,2
36,Yes,Research & Development,3,Male,1,3,3388,2,2,1,0,0
59,No,Sales,1,Female,2,3,5473,20,2,4,3,3
29,No,Research & Development,3,Male,1,2,2703,6,3,5,4,4
31,No,Research & Development,4,Male,1,2,2501,1,3,1,1,0
32,No,Research & Development,3,Male,2,2,6220,10,3,10,4,9
36,No,Research & Development,3,Female,1,4,3038,5,3,1,0,0
31,No,Research & Development,4,Female,2,4,4424,11,3,11,7,8
35,No,Sales,4,Male,2,1,4312,16,3,15,13,8
45,No,Research & Development,4,Male,3,1,13245,17,4,0,0,0
37,No,Research & Development,4,Male,3,3,13664,16,4,5,2,2
46,No,Human Resources,2,Male,2,2,5021,16,3,4,2,2
30,No,Research & Development,1,Male,2,4,5126,10,2,10,8,0
35,No,Research & Development,3,Male,1,3,2859,6,3,6,4,4
55,No,Sales,2,Male,3,4,10239,24,3,1,0,0
38,No,Research & Development,3,Female,2,4,5329,17,3,13,11,9
34,No,Research & Development,2,Male,2,2,4325,5,3,5,2,3
56,No,Research & Development,3,Male,3,4,7260,37,2,6,4,2
23,No,Sales,1,Male,1,1,2322,3,3,0,0,0
51,No,Research & Development,4,Male,1,4,2075,10,3,4,2,3
30,No,Research & Development,3,Male,2,4,4152,11,3,11,10,8
46,Yes,Sales,2,Male,3,4,9619,9,3,9,8,7
40,No,Research & Development,4,Male,4,2,13503,22,2,22,3,11
51,No,Sales,4,Male,2,4,5441,11,1,10,7,0
30,No,Sales,2,Female,2,2,5209,11,2,11,8,7
46,No,Research & Development,3,Male,3,1,10673,21,2,10,9,5
32,No,Sales,4,Male,2,3,5010,12,3,11,8,7
54,No,Research & Development,4,Female,3,3,13549,16,1,4,3,3
24,No,Sales,2,Female,2,3,4999,4,2,3,2,2
28,No,Sales,3,Male,2,3,4221,5,4,5,4,4
58,No,Sales,4,Male,4,3,13872,38,2,37,10,8
44,No,Research & Development,3,Male,2,2,2042,17,4,3,2,2
37,Yes,Human Resources,4,Male,1,1,2073,7,3,3,2,2
32,No,Research & Development,1,Male,1,1,2956,1,3,1,0,0
20,Yes,Research & Development,3,Female,1,4,2926,1,3,1,0,0
34,No,Research & Development,4,Female,2,3,4809,16,3,16,13,10
37,No,Research & Development,2,Male,2,4,5163,17,4,1,0,0
59,No,Human Resources,4,Female,5,4,18844,30,3,3,2,2
50,No,Research & Development,3,Female,5,2,18172,28,2,8,3,7
25,Yes,Sales,3,Male,2,3,5744,6,3,6,4,3
25,No,Research & Development,1,Male,1,4,2889,2,3,2,2,1
22,No,Research & Development,3,Female,1,4,2871,1,3,0,0,0
51,No,Research & Development,4,Female,3,1,7484,23,2,13,12,8
34,Yes,Research & Development,3,Male,2,3,6074,9,3,9,7,6
54,No,Human Resources,3,Female,4,4,17328,23,3,5,3,4
24,No,Research & Development,1,Male,1,3,2774,6,3,5,3,2
34,No,Research & Development,4,Female,2,2,4505,12,3,1,0,0
37,No,Sales,3,Male,3,4,7428,12,3,5,3,3
34,No,Research & Development,3,Female,3,1,11631,14,3,11,10,8
36,No,Sales,2,Female,3,4,9738,10,3,9,7,8
36,No,Research & Development,2,Female,1,4,2835,7,3,1,0,0
43,No,Sales,2,Male,4,4,16959,25,4,25,12,12
30,No,Research & Development,3,Male,1,3,2613,10,2,10,7,9
33,No,Sales,2,Male,2,2,6146,8,4,7,7,7
56,Yes,Research & Development,4,Female,1,2,4963,7,3,5,4,3
51,No,Research & Development,3,Male,5,3,19537,23,3,20,18,15
31,Yes,Sales,4,Male,2,3,6172,12,2,7,7,7
26,No,Research & Development,3,Female,1,2,2368,5,2,5,4,3
58,Yes,Research & Development,4,Female,3,4,10312,40,2,40,10,6
19,Yes,Sales,1,Male,1,3,1675,0,2,0,0,0
22,No,Research & Development,1,Male,1,4,2523,3,3,2,1,1
49,No,Research & Development,4,Female,2,1,6567,16,2,15,11,11
43,No,Research & Development,3,Female,1,3,4739,18,3,3,2,2
50,No,Sales,3,Female,3,4,9208,16,3,2,2,1
31,Yes,Sales,3,Female,2,3,4559,4,3,2,2,2
41,No,Sales,1,Male,3,3,8189,12,3,9,7,7
26,No,Human Resources,1,Female,1,3,2942,8,3,8,7,7
36,No,Research & Development,2,Male,2,2,4941,7,3,3,2,1
51,Yes,Research & Development,4,Male,3,4,10650,18,3,4,2,3
39,No,Sales,4,Female,2,3,5902,17,4,15,11,9
25,No,Sales,3,Male,2,3,8639,6,3,2,2,2
30,No,Human Resources,3,Male,2,4,6347,12,1,11,9,7
32,Yes,Research & Development,3,Female,1,1,4200,10,4,5,4,4
45,No,Research & Development,3,Male,1,4,3452,9,2,6,5,3
38,No,Research & Development,5,Female,2,3,4317,19,3,3,2,2
30,No,Research & Development,3,Female,1,3,2632,5,2,5,4,4
32,No,Sales,2,Male,2,4,4668,9,4,8,7,7
30,No,Research & Development,3,Female,1,1,3204,8,3,3,2,2
30,No,Research & Development,1,Male,1,4,2720,6,3,5,3,2
41,No,Research & Development,3,Male,4,1,17181,21,2,7,6,7
41,No,Research & Development,4,Male,1,1,2238,7,3,5,0,4
19,No,Research & Development,1,Female,1,2,1483,1,3,1,0,0
40,No,Research & Development,3,Female,2,2,5605,20,3,20,7,13
35,No,Sales,5,Male,3,2,7295,10,3,10,8,6
53,No,Sales,2,Male,2,3,2306,13,1,7,7,5
45,No,Research & Development,3,Male,2,2,2348,20,1,17,9,15
32,No,Sales,3,Female,3,4,8998,9,3,9,8,7
29,No,Research & Development,1,Male,2,3,4319,10,3,10,7,9
51,No,Research & Development,4,Male,2,3,6132,10,3,1,0,0
58,No,Research & Development,3,Female,1,2,3346,9,2,1,0,0
40,No,Sales,4,Male,3,4,10855,15,2,12,11,11
34,No,Sales,4,Female,1,3,2231,6,3,4,3,2
22,No,Research & Development,1,Male,1,4,2323,2,3,2,2,2
27,No,Research & Development,3,Male,1,2,2024,6,1,2,2,2
28,No,Research & Development,3,Male,1,4,2713,5,1,5,2,2
57,No,Research & Development,2,Male,3,4,9439,12,1,5,3,4
27,No,Research & Development,3,Male,1,3,2566,1,2,1,1,1
50,No,Research & Development,3,Female,5,2,19926,21,3,5,4,4
41,No,Research & Development,3,Male,1,3,2451,13,3,9,8,8
30,No,Sales,3,Female,3,4,9419,12,3,10,9,4
38,No,Sales,4,Female,2,4,8686,12,4,8,3,7
32,No,Research & Development,5,Male,1,3,3038,8,3,5,4,4
27,No,Research & Development,3,Male,1,2,3058,6,2,5,2,1
19,Yes,Sales,1,Female,1,1,2325,1,4,0,0,0
36,No,Research & Development,2,Male,1,2,2088,13,2,8,7,2
30,No,Research & Development,3,Male,2,1,3072,12,3,12,9,10
45,No,Sales,2,Female,2,1,5006,9,4,5,4,3
56,No,Research & Development,3,Female,1,1,4257,19,3,2,2,2
33,No,Research & Development,3,Male,1,4,2500,4,4,3,1,2
19,Yes,Research & Development,3,Male,1,4,1102,1,2,1,0,0
46,No,Sales,2,Female,3,1,10453,24,3,24,13,7
38,No,Research & Development,2,Female,1,4,2288,2,3,2,2,1
31,No,Research & Development,1,Female,1,4,3929,7,3,4,2,2
34,No,Research & Development,2,Female,1,2,2311,9,3,3,2,2
41,Yes,Sales,2,Female,1,2,3140,4,2,4,3,2
50,No,Research & Development,3,Male,1,3,3690,5,2,3,2,2
53,No,Research & Development,2,Female,2,1,4450,5,3,4,2,3
33,No,Research & Development,3,Female,1,2,2756,8,3,8,7,6
40,No,Research & Development,1,Female,5,3,19033,21,3,20,8,9
55,No,Research & Development,4,Male,5,2,18722,36,3,24,15,15
34,No,Research & Development,1,Male,2,3,9547,10,2,10,9,9
51,No,Research & Development,3,Female,4,2,13734,21,3,7,7,0
52,No,Research & Development,4,Male,5,3,19999,34,3,33,18,9
27,No,Research & Development,3,Female,1,2,2279,7,2,7,7,3
35,Yes,Research & Development,2,Male,2,3,5916,8,3,1,0,1
43,No,Research & Development,3,Male,1,4,2089,7,4,5,4,2
45,No,Research & Development,2,Male,4,4,16792,22,3,20,8,8
37,No,Research & Development,3,Male,1,1,3564,8,2,8,7,7
35,No,Research & Development,3,Female,2,2,4425,10,3,6,2,2
42,No,Research & Development,2,Female,2,3,5265,11,3,5,3,2
38,No,Research & Development,4,Male,2,3,6553,14,3,1,0,0
38,No,Research & Development,3,Male,2,4,6261,9,1,7,7,7
27,No,Research & Development,1,Male,2,1,4298,6,3,2,2,0
49,No,Research & Development,4,Male,2,4,6804,7,3,7,7,7
34,No,Research & Development,4,Male,1,3,3815,5,4,5,3,0
40,No,Research & Development,2,Male,2,4,2741,15,4,7,2,7
38,Yes,Research & Development,1,Male,2,1,6673,17,3,1,0,0
29,Yes,Sales,3,Female,3,4,7639,10,2,10,4,9
22,No,Research & Development,3,Male,1,2,2328,4,2,4,2,2
36,No,Research & Development,1,Female,1,4,2153,8,3,8,1,7
40,No,Research & Development,5,Male,2,4,4876,5,1,3,2,2
46,No,Research & Development,4,Male,3,1,9396,17,3,4,2,3
32,Yes,Sales,4,Male,3,4,10400,14,2,14,8,8
30,No,Research & Development,1,Male,3,3,8474,12,3,11,8,8
27,No,Sales,3,Female,2,3,9981,7,3,7,7,7
51,No,Research & Development,4,Male,3,2,12490,16,1,10,9,7
30,Yes,Research & Development,3,Female,1,1,2657,8,3,5,2,4
41,No,Sales,3,Female,3,4,13591,16,3,1,0,0
30,Yes,Sales,4,Female,2,1,6696,9,2,6,3,1
29,Yes,Research & Development,3,Male,1,3,2058,7,2,6,2,5
45,No,Sales,3,Female,3,4,8865,23,3,19,7,8
54,No,Sales,3,Female,2,1,5940,16,3,6,2,5
36,No,Research & Development,2,Male,2,2,5914,16,4,13,11,7
33,No,Research & Development,4,Female,1,2,2622,7,3,3,2,1
37,No,Research & Development,3,Male,3,4,12185,10,3,10,8,7
38,No,Sales,3,Male,3,3,10609,17,2,16,10,13
31,No,Research & Development,4,Male,2,3,4345,6,3,5,4,4
59,No,Research & Development,3,Male,1,4,2177,7,3,1,0,0
37,No,Sales,4,Male,1,4,2793,13,3,9,8,8
29,No,Sales,1,Female,3,4,7918,11,3,11,10,1
35,No,Sales,3,Female,3,3,8789,10,4,10,7,8
29,Yes,Research & Development,1,Male,1,4,2389,4,2,4,3,1
52,No,Research & Development,3,Female,1,4,3212,6,2,2,2,2
42,No,Research & Development,2,Male,5,4,19232,22,3,22,17,15
59,No,Human Resources,2,Male,1,3,2267,7,2,2,2,2
50,No,Sales,4,Female,5,4,19517,32,2,7,0,6
33,Yes,Research & Development,3,Male,1,4,2436,8,1,5,4,4
43,No,Sales,3,Female,4,4,16064,22,3,17,13,9
33,Yes,Research & Development,2,Female,1,1,2707,13,4,9,7,7
52,No,Sales,4,Male,5,3,19068,33,4,33,7,12
32,No,Sales,2,Female,1,2,3931,6,3,4,3,2
32,Yes,Research & Development,3,Male,1,3,3730,4,1,3,2,2
39,No,Research & Development,4,Female,1,3,2232,7,3,3,2,2
32,No,Sales,4,Male,2,4,4465,4,3,3,2,2
41,No,Research & Development,2,Male,2,1,3072,17,2,1,0,0
40,No,Research & Development,2,Male,2,4,3319,9,3,9,8,7
45,No,Research & Development,3,Male,5,4,19202,25,3,24,0,7
31,No,Research & Development,4,Male,3,3,13675,9,3,2,2,2
33,No,Research & Development,4,Female,1,4,2911,2,2,2,2,2
34,No,Research & Development,4,Male,2,1,5957,13,3,11,9,9
37,No,Research & Development,2,Female,1,1,3920,17,2,3,1,2
45,No,Research & Development,4,Male,2,3,6434,9,3,3,2,2
37,Yes,Research & Development,3,Male,3,3,10048,17,3,1,0,0
39,No,Research & Development,4,Female,3,3,10938,20,3,19,6,8
29,No,Research & Development,3,Male,1,4,2340,6,3,6,5,5
42,No,Research & Development,2,Female,2,1,6545,10,3,3,2,2
29,No,Sales,2,Male,2,4,6931,10,3,3,2,2
25,No,Research & Development,3,Female,2,3,4898,5,3,4,2,2
42,No,Research & Development,3,Female,1,1,2593,10,3,9,6,8
40,No,Research & Development,2,Male,5,3,19436,22,3,21,7,9
51,No,Research & Development,3,Male,1,4,2723,1,2,1,0,0
31,Yes,Research & Development,2,Male,1,2,3479,6,4,5,4,4
32,No,Research & Development,3,Male,1,2,2794,5,1,5,1,3
38,No,Sales,2,Male,2,4,5249,13,3,8,7,5
32,No,Research & Development,1,Male,2,1,2176,9,3,6,2,4
46,No,Sales,3,Female,4,2,16872,28,2,7,7,7
28,Yes,Research & Development,4,Male,1,3,3485,5,1,0,0,0
29,No,Sales,3,Male,2,2,6644,10,3,0,0,0
31,No,Research & Development,3,Male,2,4,5582,10,3,9,0,8
25,No,Research & Development,2,Male,2,1,4000,6,3,6,3,5
45,No,Research & Development,2,Male,4,4,13496,21,3,20,7,10
36,No,Research & Development,3,Male,1,4,3210,16,3,15,13,11
55,No,Research & Development,3,Male,5,1,19045,37,3,36,10,13
47,Yes,Research & Development,4,Male,3,2,11849,10,2,10,7,9
28,No,Research & Development,3,Male,1,4,2070,5,2,5,2,4
37,No,Sales,4,Male,2,4,6502,7,4,5,4,1
21,No,Research & Development,2,Male,1,3,3230,3,4,3,2,0
37,No,Research & Development,4,Female,3,4,13603,15,3,5,2,2
35,No,Research & Development,3,Female,3,2,11996,10,2,7,7,2
38,No,Sales,2,Female,2,1,5605,8,3,8,0,7
26,No,Research & Development,3,Female,2,2,6397,6,1,6,5,4
50,No,Research & Development,1,Male,5,2,19144,28,2,10,4,6
53,No,Research & Development,4,Male,4,3,17584,21,2,5,3,3
42,No,Sales,1,Male,2,3,4907,20,3,20,16,6
29,No,Sales,2,Male,2,4,4554,10,2,10,7,9
55,No,Research & Development,2,Male,2,4,5415,12,3,10,7,8
26,No,Research & Development,2,Male,2,1,4741,5,3,5,3,3
37,No,Research & Development,3,Female,1,4,2115,17,3,17,12,7
44,Yes,Research & Development,3,Male,1,3,3161,19,1,1,0,0
38,No,Research & Development,4,Male,2,4,5745,10,3,2,2,2
26,Yes,Research & Development,4,Male,1,2,2373,5,3,3,2,2
28,No,Research & Development,2,Female,1,4,3310,5,3,5,3,2
49,No,Research & Development,4,Female,5,1,18665,22,3,3,2,2
36,No,Research & Development,3,Male,2,2,4485,10,3,8,0,7
31,No,Sales,3,Female,1,2,2789,2,2,2,2,2
26,Yes,Sales,4,Male,2,4,5828,8,3,8,7,4
37,No,Research & Development,3,Male,1,4,2326,4,2,4,2,2
42,No,Sales,3,Female,4,2,13525,23,4,20,4,8
18,Yes,Research & Development,3,Male,1,3,1420,0,3,0,0,0
35,No,Sales,3,Male,3,2,8020,12,2,11,9,9
36,No,Research & Development,4,Male,1,4,3688,4,3,1,0,0
51,No,Research & Development,3,Male,2,2,5482,13,3,4,1,2
41,No,Sales,4,Male,4,2,16015,22,3,22,10,4
18,No,Sales,3,Female,1,3,1200,0,3,0,0,0
28,No,Research & Development,2,Male,2,1,5661,9,3,8,3,7
31,No,Sales,3,Male,2,4,6929,10,2,8,7,7
39,No,Research & Development,3,Male,3,4,9613,19,2,18,10,7
36,No,Research & Development,4,Female,2,2,5674,11,3,9,8,8
32,No,Sales,3,Male,2,3,5484,13,2,13,8,8
38,No,Research & Development,2,Female,3,2,12061,19,3,10,8,1
58,No,Research & Development,4,Male,2,3,5660,12,3,5,3,2
31,No,Research & Development,4,Male,1,4,4821,6,3,5,2,3
31,No,Human Resources,3,Male,2,1,6410,9,3,2,2,0
45,No,Research & Development,3,Male,3,1,5210,24,3,24,9,11
31,No,Research & Development,4,Male,1,4,2695,3,1,2,2,2
33,No,Research & Development,4,Female,3,2,11878,12,3,10,6,8
39,No,Research & Development,1,Male,4,1,17068,21,3,21,9,10
43,No,Research & Development,4,Female,1,4,2455,9,3,8,7,7
49,No,Research & Development,2,Female,4,3,13964,25,3,7,1,7
52,Yes,Research & Development,4,Male,2,2,4941,11,2,8,2,7
27,No,Research & Development,3,Female,1,2,2478,4,2,4,3,2
32,No,Sales,2,Female,2,2,5228,13,3,13,12,9
27,No,Sales,3,Male,2,3,4478,5,3,5,4,4
31,No,Sales,3,Male,2,4,7547,13,3,7,7,7
32,No,Research & Development,4,Female,2,4,5055,10,2,7,7,7
28,Yes,Research & Development,4,Male,1,4,3464,5,2,3,2,2
30,No,Research & Development,2,Female,2,4,5775,11,3,10,8,9
31,No,Research & Development,2,Female,3,3,8943,10,3,10,9,9
39,No,Research & Development,2,Male,5,4,19272,21,3,21,9,3
39,Yes,Sales,2,Female,2,3,5238,12,2,1,0,0
33,No,Sales,3,Male,2,4,4682,9,2,7,7,1
47,No,Research & Development,5,Male,5,3,18300,21,3,3,2,1
43,No,Research & Development,4,Female,2,3,5257,9,4,9,7,0
27,No,Sales,1,Male,2,2,6349,6,3,5,4,4
54,No,Research & Development,4,Female,2,3,4869,20,2,4,3,3
43,No,Research & Development,3,Female,3,1,9985,10,2,1,0,0
45,No,Research & Development,4,Male,2,4,3697,12,3,10,9,8
40,No,Sales,2,Male,2,4,7457,6,2,4,3,2
29,Yes,Research & Development,4,Male,1,1,2119,7,2,7,7,7
29,No,Research & Development,5,Male,1,4,3983,4,3,3,2,2
30,No,Sales,3,Female,2,3,6118,10,3,10,9,2
27,No,Sales,4,Female,2,2,6214,8,3,8,7,7
37,No,Research & Development,2,Male,2,4,6347,8,2,6,2,4
38,No,Research & Development,2,Male,3,4,11510,12,3,11,10,9
31,No,Research & Development,4,Female,3,4,7143,11,2,11,9,10
29,No,Sales,1,Female,2,2,8268,7,3,7,7,7
35,No,Research & Development,4,Male,3,2,8095,17,3,16,6,13
23,No,Research & Development,1,Male,1,4,2904,4,2,4,2,2
41,No,Research & Development,3,Male,2,2,6032,8,3,5,4,2
47,No,Sales,1,Male,2,3,2976,5,3,0,0,0
42,No,Research & Development,5,Female,4,4,15992,16,3,1,0,0
29,No,Sales,3,Male,2,3,4649,4,2,4,3,2
42,No,Human Resources,1,Male,1,3,2696,4,3,3,2,0
32,No,Research & Development,3,Female,1,2,2370,8,3,8,0,7
48,No,Sales,1,Female,3,3,12504,15,1,0,0,0
37,No,Research & Development,3,Male,2,1,5974,13,3,7,7,7
30,No,Sales,2,Female,2,3,4736,4,4,2,2,2
26,No,Sales,3,Male,2,3,5296,8,3,8,7,7
42,No,Research & Development,4,Male,2,4,6781,14,3,1,0,0
21,Yes,Sales,1,Female,1,2,2174,3,3,3,2,2
36,No,Sales,5,Female,2,4,6653,7,3,1,0,0
36,No,Sales,4,Male,3,4,9699,16,3,13,9,12
57,No,Research & Development,4,Male,2,3,6755,15,3,3,2,2
40,No,Research & Development,4,Female,1,3,2213,10,3,7,7,7
21,No,Sales,2,Male,1,4,2610,3,2,3,2,2
33,Yes,Sales,3,Female,1,3,2851,1,3,1,0,0
37,No,Research & Development,3,Female,1,1,3452,17,3,5,4,3
46,No,Research & Development,4,Female,2,3,5258,7,4,1,0,0
41,Yes,Sales,3,Male,2,2,9355,8,3,8,7,7
50,No,Research & Development,3,Male,3,4,10496,20,3,4,3,3
40,Yes,Sales,2,Male,2,3,6380,8,3,6,4,0
31,No,Research & Development,4,Male,1,2,2657,3,3,2,2,2
21,Yes,Sales,3,Female,1,2,2716,1,3,1,0,0
29,No,Research & Development,3,Male,1,4,2201,6,3,3,2,2
35,No,Research & Development,4,Male,2,2,6540,10,3,1,1,0
27,No,Research & Development,2,Male,1,2,3816,5,3,5,2,4
28,No,Sales,4,Male,2,4,5253,7,3,7,5,7
49,No,Research & Development,3,Male,3,3,10965,26,3,5,2,0
51,No,Sales,2,Female,2,4,4936,18,2,7,7,7
36,No,Research & Development,3,Female,1,3,2543,6,3,2,2,2
34,Yes,Sales,3,Male,2,4,5304,9,2,5,2,4
55,No,Research & Development,3,Female,4,4,16659,30,3,5,4,2
24,No,Sales,4,Female,2,3,4260,5,4,5,2,3
30,No,Sales,1,Male,1,2,2476,1,3,1,0,0
26,Yes,Research & Development,1,Male,1,1,3102,7,3,6,4,4
22,No,Research & Development,3,Female,1,2,2244,2,3,2,1,2
36,No,Sales,2,Male,3,3,7596,10,3,10,9,0
30,Yes,Research & Development,3,Male,1,4,2285,3,3,1,0,0
37,No,Research & Development,3,Female,1,1,3034,18,2,18,7,17
40,No,Sales,2,Female,2,2,5715,8,3,5,4,3
42,No,Research & Development,4,Female,1,1,2576,8,3,5,2,2
37,No,Research & Development,4,Male,2,2,4197,18,2,1,0,1
43,No,Research & Development,3,Male,4,2,14336,25,3,25,10,9
40,No,Research & Development,3,Female,2,3,3448,20,3,1,0,0
54,No,Research & Development,2,Male,5,1,19406,24,2,4,2,2
34,No,Sales,4,Female,2,3,6538,6,3,3,2,2
31,No,Research & Development,2,Female,2,1,4306,13,1,13,10,12
43,No,Research & Development,3,Male,1,4,2258,8,3,3,2,2
43,No,Research & Development,4,Female,2,3,4522,8,3,5,2,2
25,No,Sales,2,Female,2,4,4487,5,3,5,4,3
37,No,Research & Development,5,Female,2,3,4449,15,3,13,11,7
31,No,Research & Development,2,Male,1,1,2218,4,3,4,2,2
39,No,Research & Development,1,Male,5,3,19197,21,3,21,8,6
56,No,Sales,3,Female,4,1,13212,36,2,7,7,7
30,No,Sales,3,Female,2,3,6577,6,3,5,4,4
41,No,Sales,3,Male,3,1,8392,10,3,10,7,7
28,No,Research & Development,2,Male,2,1,4558,10,3,10,0,8
25,Yes,Research & Development,3,Male,1,1,4031,6,3,2,2,2
52,No,Research & Development,3,Male,3,3,7969,28,3,5,4,4
45,No,Research & Development,2,Male,1,4,2654,8,2,2,2,2
52,No,Research & Development,2,Female,4,4,16555,31,1,5,2,4
42,No,Research & Development,2,Female,2,3,4556,19,3,5,4,2
30,No,Research & Development,3,Female,2,4,6091,11,3,5,4,2
60,No,Research & Development,3,Female,5,1,19566,33,1,29,8,10
46,No,Research & Development,3,Female,2,3,4810,19,2,10,7,8
42,No,Research & Development,4,Female,2,4,4523,7,4,6,5,4
24,Yes,Sales,1,Female,1,2,3202,6,3,5,3,4
34,Yes,Sales,2,Female,1,3,2351,3,2,2,2,0
38,No,Research & Development,2,Male,1,4,1702,1,3,1,0,0
40,No,Sales,4,Female,5,3,18041,21,3,20,15,12
26,No,Research & Development,3,Female,1,4,2886,3,1,3,2,2
30,No,Research & Development,3,Male,1,4,2097,9,1,5,3,4
29,No,Research & Development,4,Male,3,3,11935,10,3,10,2,7
29,Yes,Research & Development,5,Female,1,2,2546,6,4,2,2,1
19,Yes,Human Resources,2,Male,1,4,2564,1,4,1,0,0
30,No,Sales,4,Female,3,1,8412,10,3,9,8,8
57,No,Sales,3,Male,4,4,14118,32,2,1,0,0
50,No,Research & Development,4,Male,4,3,17046,28,3,27,10,7
30,No,Research & Development,3,Female,1,4,2564,12,2,11,7,7
60,No,Sales,3,Female,3,1,10266,22,4,18,13,11
47,No,Research & Development,2,Female,2,4,5070,20,3,5,0,4
46,No,Research & Development,3,Male,4,3,17861,26,1,3,2,1
35,No,Research & Development,3,Male,1,3,4230,6,3,5,4,3
54,No,Research & Development,4,Female,2,3,3780,19,3,1,0,0
34,No,Research & Development,4,Male,1,3,2768,14,3,7,3,7
46,No,Sales,3,Female,3,4,9071,15,3,3,2,2
31,No,Research & Development,1,Male,3,2,10648,13,4,13,8,8
